TreeID,Collector,CollectorID,Photo.Reference,Date,location,location.site,City.State.Country,Locality,lat,lon,CBH-in,CBH-cm,DBH-in,DBH,Height-ft,height,azimuth,EOL-ft,lean,lean.deg,relative.lean,Notes,
1,Jason Johns,1,Johns_1,,Northern Hemisphere,California,"Ventura, CA, USA",Ventura: North(ish) end of Ivy Lawn Memorial Park and Funeral Home (1st on road),34.252282,-119.217106,67.0,170.2,21.3,54.2,46.3,14.1,163.0,10.0,3.0,12.2,0.22,,
2,Jason Johns,2,Johns_2,,Northern Hemisphere,California,"Ventura, CA, USA",Ventura: In the back on S. end,34.249193,-119.215399,57.0,144.8,18.1,46.1,52.3,15.9,132.0,14.5,4.4,15.5,0.28,,
3,Jason Johns,3,Johns_3,,Northern Hemisphere,California,"Ventura, CA, USA",Ventura: Middle Lawn South end,34.249765,-119.215624,75.0,190.5,23.9,60.6,64.1,19.5,175.0,13.0,4.0,11.5,0.20,,
4,Jason Johns,4,Johns_4,,Northern Hemisphere,California,"Ventura, CA, USA",Ventura: Next one down the road heading west from #2,34.249677,-119.214283,44.0,111.8,14.0,35.6,44.2,13.5,179.0,4.0,1.2,5.2,0.09,,
5,Jason Johns,5,Johns_5,,Northern Hemisphere,California,"Ventura, CA, USA",Ventura: Next on road heading N on E side bldg. on S end of property,34.250425,-119.213712,52.0,132.1,16.6,42.0,43.1,13.1,180.0,11.0,3.4,14.3,0.26,,
6,Jason Johns,6,Johns_6,,Northern Hemisphere,California,"Ventura, CA, USA",Ventura: Smaller one right next to #5 closer to bldg,34.250504,-119.213811,10.0,25.4,3.2,8.1,14.3,4.4,167.0,4.5,1.4,17.5,0.31,,
7,Jason Johns,7,Johns_7,,Northern Hemisphere,California,"Ventura, CA, USA",Ventura: Center of middle lawn N of #3,34.250615,-119.215672,79.0,200.7,25.1,63.9,74.8,22.8,152.0,13.5,4.1,10.2,0.18,,
8,Jason Johns,8,Johns_8,,Northern Hemisphere,California,"Ventura, CA, USA",Ventura: Next down road on W wall south of #1,34.249857,-119.217292,39.0,99.1,12.4,31.5,37.2,11.3,181.0,2.0,0.6,3.1,0.05,,
9,Jason Johns,9,Johns_9,,Northern Hemisphere,California,"Ventura, CA, USA",Ventura: Next down road on W wall south of #8,34.249431,-119.216968,49.0,124.5,15.6,39.6,37.8,11.5,181.0,6.5,2.0,9.8,0.17,,
10,Jason Johns,10,Johns_10,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Anteater & E. Peltason,33.642708,-117.836751,11.0,27.9,3.5,8.9,33.2,10.1,163.0,6.0,1.8,10.2,0.18,,
11,Jason Johns,11,Johns_11,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from hydrant (from #10),33.642689,-117.836824,43.0,109.2,13.7,34.8,37.5,11.4,144.0,6.5,2.0,9.8,0.17,,
12,Jason Johns,12,Johns_12,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #11,33.642654,-117.836926,49.0,124.5,15.6,39.6,54.2,16.5,155.0,9.0,2.7,9.4,0.17,,
13,Jason Johns,13,Johns_13,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #12,33.642629,-117.837013,42.0,106.7,13.4,34.0,35.9,10.9,146.0,11.5,3.5,17.8,0.32,,
14,Jason Johns,14,Johns_14,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #13,33.642607,-117.837109,56.0,142.2,17.8,45.3,58.5,17.8,144.0,7.5,2.3,7.3,0.13,,
15,Jason Johns,15,Johns_15,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #14,33.642586,-117.837301,47.0,119.4,15.0,38.0,36.0,11.0,146.0,2.0,0.6,3.2,0.06,"weird R angle one toward bldg (6ft., 288)",
16,Jason Johns,16,Johns_16,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #15,33.642569,-117.837389,34.0,86.4,10.8,27.5,33.1,10.1,153.0,8.0,2.4,13.6,0.24,,
17,Jason Johns,17,Johns_17,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #16,33.642582,-117.837620,43.0,109.2,13.7,34.8,49.5,15.1,157.0,8.5,2.6,9.7,0.17,,
18,Jason Johns,18,Johns_18,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #17,33.642585,-117.837704,50.0,127.0,15.9,40.4,38.7,11.8,156.0,1.0,0.3,1.5,0.03,"weird R angle one toward bldg (9 ft., 284)",
19,Jason Johns,19,Johns_19,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #18,33.642596,-117.837804,40.0,101.6,12.7,32.3,30.6,9.3,189.0,15.0,4.6,26.1,0.49,,
20,Jason Johns,20,Johns_20,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Opp. side of street from #10. 1st one on E. Peltason & Gabrielino,33.642340,-117.837529,36.0,91.4,11.5,29.1,28.9,8.8,152.0,9.0,2.7,17.3,0.31,,
21,Jason Johns,21,Johns_21,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #20,33.642345,-117.837603,46.0,116.8,14.6,37.2,59.0,18.0,151.0,5.5,1.7,5.3,0.09,,
22,Jason Johns,22,Johns_22,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Next one down from #21,33.642370,-117.837793,46.0,116.8,14.6,37.2,47.1,14.4,188.0,7.0,2.1,8.5,0.15,,
23,Jason Johns,23,Johns_23,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Across (Anteater) st. from #10 on same side,33.642924,-117.836323,44.0,111.8,14.0,35.6,46.4,14.1,135.0,11.0,3.4,13.3,0.24,,
24,Jason Johns,24,Johns_24,,Northern Hemisphere,California,"Irvine, CA, USA",Irvine: Four down from #23,33.643163,-117.836042,52.0,132.1,16.6,42.0,56.0,17.1,135.0,11.5,3.5,11.6,0.21,,
